t[s],wx[rad/s],wy[rad/s],wz[rad/s],q1,q2,q3,q4
0.063,1.76652,3.2917,-3.85054,0.0582873,0.0969805,-0.1206,0.986232
0.064,1.76272,3.29595,-3.84821,0.0591183,0.0985229,-0.122382,0.98581
0.065,1.75891,3.30019,-3.84589,0.0599459,0.100064,-0.124157,0.985382
0.066,1.7551,3.30442,-3.84357,0.0607701,0.101605,-0.125927,0.98495
0.067,1.75129,3.30863,-3.84125,0.0615908,0.103144,-0.127692,0.984511
0.068,1.74748,3.31284,-3.83893,0.0624081,0.104682,-0.129451,0.984068
0.069,1.74366,3.31703,-3.83661,0.0632219,0.106219,-0.131205,0.983619
0.07,1.73985,3.32121,-3.8343,0.0640323,0.107754,-0.132953,0.983165
0.071,1.73603,3.32538,-3.83199,0.0648391,0.109288,-0.134695,0.982705
0.072,1.7322,3.32954,-3.82968,0.0656425,0.110821,-0.136431,0.98224
0.073,1.72838,3.33368,-3.82737,0.0664423,0.112353,-0.138162,0.981771
0.074,1.72455,3.33782,-3.82507,0.0672386,0.113883,-0.139887,0.981296
0.075,1.72072,3.34194,-3.82277,0.0680314,0.115411,-0.141606,0.980816
0.076,1.71689,3.34605,-3.82047,0.0688206,0.116938,-0.143319,0.980331
0.077,1.71305,3.35015,-3.81817,0.0696062,0.118464,-0.145026,0.979841
0.078,1.70922,3.35424,-3.81587,0.0703882,0.119987,-0.146727,0.979346
0.079,1.70538,3.35832,-3.81358,0.0711667,0.12151,-0.148423,0.978847
0.08,1.70153,3.36238,-3.81129,0.0719415,0.12303,-0.150112,0.978343
0.081,1.69769,3.36643,-3.809,0.0727127,0.124549,-0.151795,0.977834
0.082,1.69384,3.37048,-3.80671,0.0734803,0.126066,-0.153472,0.97732
0.083,1.68999,3.37451,-3.80443,0.0742442,0.127581,-0.155143,0.976802
0.084,1.68614,3.37852,-3.80215,0.0750045,0.129094,-0.156807,0.976279
0.085,1.68229,3.38253,-3.79987,0.0757611,0.130606,-0.158466,0.975752
0.086,1.67843,3.38653,-3.79759,0.076514,0.132115,-0.160118,0.97522
0.087,1.67457,3.39051,-3.79532,0.0772633,0.133623,-0.161764,0.974683
0.088,1.67071,3.39448,-3.79305,0.0780088,0.135128,-0.163403,0.974143
0.089,1.66685,3.39844,-3.79078,0.0787507,0.136632,-0.165036,0.973598
0.09,1.66299,3.40239,-3.78851,0.0794888,0.138133,-0.166663,0.973049
0.091,1.65912,3.40633,-3.78625,0.0802232,0.139633,-0.168283,0.972496
0.092,1.65525,3.41026,-3.78399,0.0809539,0.14113,-0.169897,0.971938
0.093,1.65138,3.41417,-3.78173,0.0816809,0.142625,-0.171505,0.971377
0.094,1.6475,3.41807,-3.77948,0.0824041,0.144118,-0.173106,0.970811
0.095,1.64363,3.42196,-3.77723,0.0831236,0.145608,-0.1747,0.970242
0.096,1.63975,3.42584,-3.77498,0.0838393,0.147096,-0.176288,0.969668
0.097,1.63587,3.42971,-3.77273,0.0845513,0.148582,-0.177869,0.969091
0.098,1.63199,3.43357,-3.77048,0.0852594,0.150066,-0.179444,0.96851
0.099,1.62811,3.43742,-3.76824,0.0859638,0.151547,-0.181012,0.967925
0.1,1.62422,3.44125,-3.766,0.0866645,0.153026,-0.182574,0.967336
0.101,1.62033,3.44507,-3.76377,0.0873613,0.154503,-0.184128,0.966744
0.102,1.61644,3.44889,-3.76154,0.0880543,0.155977,-0.185677,0.966148
0.103,1.61255,3.45269,-3.75931,0.0887436,0.157448,-0.187218,0.965549
0.104,1.60866,3.45647,-3.75708,0.089429,0.158917,-0.188753,0.964946
0.105,1.60476,3.46025,-3.75485,0.0901107,0.160383,-0.190281,0.964339
0.106,1.60086,3.46402,-3.75263,0.0907885,0.161847,-0.191802,0.96373
0.107,1.59696,3.46777,-3.75041,0.0914625,0.163308,-0.193316,0.963117
0.108,1.59306,3.47152,-3.7482,0.0921327,0.164767,-0.194824,0.9625
0.109,1.58916,3.47525,-3.74599,0.0927991,0.166223,-0.196325,0.961881
0.11,1.58525,3.47897,-3.74378,0.0934616,0.167676,-0.197819,0.961258
0.111,1.58135,3.48268,-3.74157,0.0941204,0.169126,-0.199306,0.960632
0.112,1.57744,3.48638,-3.73937,0.0947752,0.170574,-0.200786,0.960004
0.113,1.57352,3.49006,-3.73717,0.0954263,0.172019,-0.20226,0.959372
0.114,1.56961,3.49374,-3.73497,0.0960735,0.173461,-0.203726,0.958737
0.115,1.5657,3.4974,-3.73278,0.0967169,0.174901,-0.205186,0.958099
0.116,1.56178,3.50105,-3.73059,0.0973565,0.176337,-0.206639,0.957459
0.117,1.55786,3.5047,-3.7284,0.0979922,0.177771,-0.208084,0.956815
0.118,1.55394,3.50833,-3.72622,0.0986241,0.179202,-0.209523,0.956169
0.119,1.55002,3.51195,-3.72404,0.0992521,0.18063,-0.210955,0.955521
0.12,1.5461,3.51555,-3.72186,0.0998763,0.182055,-0.21238,0.954869
0.121,1.54217,3.51915,-3.71969,0.100497,0.183477,-0.213798,0.954215
0.122,1.53824,3.52273,-3.71752,0.101113,0.184896,-0.215209,0.953559
0.123,1.53432,3.52631,-3.71535,0.101726,0.186312,-0.216614,0.9529
0.124,1.53039,3.52987,-3.71318,0.102335,0.187725,-0.218011,0.952239
0.125,1.52645,3.53342,-3.71102,0.10294,0.189135,-0.219401,0.951575
