t[s],wx[rad/s],wy[rad/s],wz[rad/s],q1,q2,q3,q4
1.012,-2.03286,2.9606,-4.0197,-0.187866,0.551947,-0.393746,0.710651
1.013,-2.03643,2.95549,-4.02211,-0.188632,0.551611,-0.393884,0.710632
1.014,-2.03999,2.95037,-4.02451,-0.189399,0.551273,-0.394023,0.710614
1.015,-2.04356,2.94524,-4.02692,-0.190165,0.550933,-0.394162,0.710596
1.016,-2.04711,2.9401,-4.02933,-0.190932,0.550591,-0.394301,0.710578
1.017,-2.05067,2.93494,-4.03174,-0.191699,0.550247,-0.394441,0.71056
1.018,-2.05422,2.92978,-4.03414,-0.192465,0.549902,-0.394582,0.710542
1.019,-2.05776,2.9246,-4.03655,-0.193232,0.549554,-0.394723,0.710525
1.02,-2.06131,2.91941,-4.03896,-0.193999,0.549205,-0.394864,0.710507
1.021,-2.06484,2.9142,-4.04137,-0.194766,0.548854,-0.395006,0.710489
1.022,-2.06838,2.90899,-4.04377,-0.195533,0.548501,-0.395149,0.710472
1.023,-2.0719,2.90376,-4.04618,-0.196301,0.548147,-0.395292,0.710455
1.024,-2.07543,2.89852,-4.04859,-0.197068,0.54779,-0.395435,0.710437
1.025,-2.07895,2.89327,-4.05099,-0.197835,0.547432,-0.395579,0.71042
1.026,-2.08247,2.888,-4.0534,-0.198602,0.547072,-0.395724,0.710403
1.027,-2.08598,2.88273,-4.0558,-0.19937,0.54671,-0.395869,0.710386
1.028,-2.08949,2.87744,-4.05821,-0.200137,0.546346,-0.396015,0.710369
1.029,-2.09299,2.87214,-4.06061,-0.200905,0.54598,-0.396161,0.710352
1.03,-2.09649,2.86683,-4.06302,-0.201672,0.545612,-0.396307,0.710335
1.031,-2.09998,2.86151,-4.06542,-0.20244,0.545243,-0.396454,0.710319
1.032,-2.10347,2.85617,-4.06783,-0.203208,0.544871,-0.396602,0.710302
1.033,-2.10696,2.85082,-4.07023,-0.203975,0.544498,-0.39675,0.710285
1.034,-2.11044,2.84546,-4.07263,-0.204743,0.544123,-0.396898,0.710269
1.035,-2.11391,2.84009,-4.07503,-0.205511,0.543746,-0.397047,0.710253
1.036,-2.11739,2.83471,-4.07744,-0.206278,0.543367,-0.397197,0.710236
1.037,-2.12085,2.82931,-4.07984,-0.207046,0.542987,-0.397347,0.71022
1.038,-2.12432,2.8239,-4.08224,-0.207814,0.542604,-0.397497,0.710204
1.039,-2.12778,2.81848,-4.08464,-0.208582,0.54222,-0.397648,0.710188
1.04,-2.13123,2.81305,-4.08703,-0.20935,0.541834,-0.397799,0.710172
1.041,-2.13468,2.80761,-4.08943,-0.210117,0.541446,-0.397951,0.710156
1.042,-2.13812,2.80215,-4.09183,-0.210885,0.541056,-0.398103,0.710141
1.043,-2.14156,2.79668,-4.09423,-0.211653,0.540664,-0.398256,0.710125
1.044,-2.145,2.7912,-4.09662,-0.212421,0.540271,-0.398409,0.710109
1.045,-2.14843,2.78571,-4.09902,-0.213188,0.539875,-0.398563,0.710094
1.046,-2.15185,2.78021,-4.10141,-0.213956,0.539478,-0.398717,0.710078
1.047,-2.15527,2.77469,-4.1038,-0.214724,0.539078,-0.398872,0.710063
1.048,-2.15869,2.76916,-4.1062,-0.215492,0.538677,-0.399027,0.710048
1.049,-2.1621,2.76362,-4.10859,-0.216259,0.538274,-0.399182,0.710032
1.05,-2.16551,2.75807,-4.11098,-0.217027,0.537869,-0.399338,0.710017
1.051,-2.16891,2.75251,-4.11337,-0.217795,0.537463,-0.399495,0.710002
1.052,-2.17231,2.74693,-4.11575,-0.218562,0.537054,-0.399652,0.709987
1.053,-2.1757,2.74134,-4.11814,-0.21933,0.536644,-0.399809,0.709972
1.054,-2.17908,2.73574,-4.12053,-0.220097,0.536231,-0.399967,0.709957
1.055,-2.18247,2.73013,-4.12291,-0.220865,0.535817,-0.400125,0.709943
1.056,-2.18584,2.72451,-4.1253,-0.221632,0.535401,-0.400284,0.709928
1.057,-2.18922,2.71887,-4.12768,-0.2224,0.534983,-0.400443,0.709913
1.058,-2.19258,2.71322,-4.13006,-0.223167,0.534563,-0.400602,0.709899
1.059,-2.19594,2.70756,-4.13244,-0.223934,0.534142,-0.400762,0.709884
1.06,-2.1993,2.70189,-4.13482,-0.224701,0.533718,-0.400923,0.70987
1.061,-2.20265,2.69621,-4.13719,-0.225468,0.533293,-0.401083,0.709856
1.062,-2.206,2.69051,-4.13957,-0.226235,0.532865,-0.401245,0.709841
1.063,-2.20934,2.68481,-4.14194,-0.227002,0.532436,-0.401406,0.709827
1.064,-2.21268,2.67909,-4.14432,-0.227769,0.532005,-0.401568,0.709813
1.065,-2.21601,2.67336,-4.14669,-0.228536,0.531572,-0.401731,0.709799
1.066,-2.21933,2.66761,-4.14906,-0.229302,0.531137,-0.401894,0.709785
1.067,-2.22265,2.66186,-4.15142,-0.230069,0.5307,-0.402057,0.709771
1.068,-2.22597,2.65609,-4.15379,-0.230836,0.530262,-0.402221,0.709757
1.069,-2.22928,2.65031,-4.15616,-0.231602,0.529821,-0.402385,0.709744
1.07,-2.23258,2.64452,-4.15852,-0.232368,0.529379,-0.40255,0.70973
1.071,-2.23588,2.63872,-4.16088,-0.233134,0.528935,-0.402715,0.709716
1.072,-2.23918,2.6329,-4.16324,-0.2339,0.528488,-0.40288,0.709703
1.073,-2.24246,2.62708,-4.1656,-0.234666,0.52804,-0.403046,0.709689
1.074,-2.24575,2.62124,-4.16796,-0.235432,0.52759,-0.403212,0.709676
1.075,-2.24902,2.61539,-4.17031,-0.236198,0.527139,-0.403379,0.709663
1.076,-2.2523,2.60953,-4.17266,-0.236963,0.526685,-0.403546,0.709649
1.077,-2.25556,2.60365,-4.17501,-0.237729,0.526229,-0.403713,0.709636
1.078,-2.25882,2.59777,-4.17736,-0.238494,0.525772,-0.403881,0.709623
1.079,-2.26208,2.59187,-4.17971,-0.239259,0.525312,-0.404049,0.70961
1.08,-2.26533,2.58596,-4.18206,-0.240024,0.524851,-0.404218,0.709597
1.081,-2.26857,2.58004,-4.1844,-0.240789,0.524388,-0.404386,0.709584
1.082,-2.27181,2.57411,-4.18674,-0.241553,0.523923,-0.404556,0.709571
1.083,-2.27505,2.56816,-4.18908,-0.242318,0.523456,-0.404725,0.709558
1.084,-2.27827,2.56221,-4.19142,-0.243082,0.522987,-0.404895,0.709546
1.085,-2.2815,2.55624,-4.19375,-0.243847,0.522516,-0.405066,0.709533
1.086,-2.28471,2.55026,-4.19608,-0.244611,0.522044,-0.405237,0.70952
1.087,-2.28792,2.54427,-4.19841,-0.245374,0.521569,-0.405408,0.709508
1.088,-2.29113,2.53826,-4.20074,-0.246138,0.521093,-0.405579,0.709495
1.089,-2.29432,2.53225,-4.20307,-0.246902,0.520615,-0.405751,0.709483
1.09,-2.29752,2.52622,-4.20539,-0.247665,0.520134,-0.405924,0.709471
1.091,-2.30071,2.52018,-4.20771,-0.248428,0.519652,-0.406096,0.709458
1.092,-2.30389,2.51413,-4.21003,-0.249191,0.519168,-0.406269,0.709446
1.093,-2.30706,2.50807,-4.21235,-0.249954,0.518682,-0.406442,0.709434
1.094,-2.31023,2.50199,-4.21467,-0.250716,0.518194,-0.406616,0.709422
1.095,-2.31339,2.49591,-4.21698,-0.251478,0.517705,-0.40679,0.70941
1.096,-2.31655,2.48981,-4.21929,-0.25224,0.517213,-0.406964,0.709398
1.097,-2.3197,2.4837,-4.22159,-0.253002,0.51672,-0.407139,0.709386
1.098,-2.32285,2.47758,-4.2239,-0.253764,0.516224,-0.407314,0.709374
1.099,-2.32599,2.47145,-4.2262,-0.254525,0.515727,-0.40749,0.709362
1.1,-2.32912,2.46531,-4.2285,-0.255287,0.515228,-0.407665,0.70935
1.101,-2.33225,2.45915,-4.2308,-0.256048,0.514727,-0.407841,0.709339
1.102,-2.33537,2.45298,-4.23309,-0.256808,0.514224,-0.408018,0.709327
1.103,-2.33849,2.44681,-4.23538,-0.257569,0.513719,-0.408194,0.709316
1.104,-2.3416,2.44062,-4.23767,-0.258329,0.513212,-0.408371,0.709304
1.105,-2.3447,2.43441,-4.23996,-0.259089,0.512703,-0.408549,0.709293
1.106,-2.34779,2.4282,-4.24224,-0.259849,0.512193,-0.408726,0.709281
1.107,-2.35088,2.42197,-4.24452,-0.260609,0.51168,-0.408904,0.70927
1.108,-2.35397,2.41574,-4.2468,-0.261368,0.511166,-0.409083,0.709259
1.109,-2.35705,2.40949,-4.24907,-0.262127,0.510649,-0.409261,0.709247
1.11,-2.36012,2.40323,-4.25134,-0.262886,0.510131,-0.40944,0.709236
1.111,-2.36318,2.39696,-4.25361,-0.263644,0.509611,-0.409619,0.709225
1.112,-2.36624,2.39068,-4.25588,-0.264402,0.509089,-0.409799,0.709214
1.113,-2.36929,2.38438,-4.25814,-0.26516,0.508565,-0.409979,0.709203
1.114,-2.37234,2.37808,-4.2604,-0.265918,0.508039,-0.410159,0.709192
1.115,-2.37538,2.37176,-4.26266,-0.266675,0.507511,-0.410339,0.709181
1.116,-2.37841,2.36543,-4.26491,-0.267432,0.506982,-0.41052,0.709171
1.117,-2.38144,2.35909,-4.26716,-0.268189,0.50645,-0.410701,0.70916
1.118,-2.38446,2.35274,-4.26941,-0.268946,0.505917,-0.410882,0.709149
1.119,-2.38747,2.34638,-4.27165,-0.269702,0.505381,-0.411064,0.709138
1.12,-2.39048,2.34,-4.27389,-0.270458,0.504844,-0.411246,0.709128
1.121,-2.39348,2.33362,-4.27613,-0.271213,0.504305,-0.411428,0.709117
1.122,-2.39647,2.32722,-4.27837,-0.271968,0.503764,-0.41161,0.709107
1.123,-2.39946,2.32081,-4.2806,-0.272723,0.503221,-0.411793,0.709096
1.124,-2.40244,2.31439,-4.28282,-0.273478,0.502676,-0.411976,0.709086
1.125,-2.40541,2.30796,-4.28505,-0.274232,0.502129,-0.412159,0.709076
1.126,-2.40838,2.30152,-4.28727,-0.274986,0.50158,-0.412343,0.709065
1.127,-2.41134,2.29507,-4.28949,-0.27574,0.50103,-0.412526,0.709055
1.128,-2.41429,2.2886,-4.2917,-0.276493,0.500477,-0.41271,0.709045
1.129,-2.41724,2.28213,-4.29391,-0.277246,0.499923,-0.412895,0.709035
1.13,-2.42018,2.27564,-4.29612,-0.277998,0.499366,-0.413079,0.709025
1.131,-2.42311,2.26914,-4.29832,-0.278751,0.498808,-0.413264,0.709015
1.132,-2.42604,2.26263,-4.30052,-0.279502,0.498248,-0.413449,0.709005
1.133,-2.42896,2.25611,-4.30271,-0.280254,0.497686,-0.413634,0.708995
1.134,-2.43187,2.24958,-4.30491,-0.281005,0.497122,-0.41382,0.708985
1.135,-2.43478,2.24304,-4.30709,-0.281756,0.496556,-0.414005,0.708975
1.136,-2.43767,2.23648,-4.30928,-0.282506,0.495988,-0.414191,0.708965
1.137,-2.44057,2.22992,-4.31146,-0.283256,0.495418,-0.414377,0.708955
1.138,-2.44345,2.22334,-4.31364,-0.284006,0.494847,-0.414564,0.708946
1.139,-2.44633,2.21675,-4.31581,-0.284755,0.494273,-0.414751,0.708936
1.14,-2.4492,2.21015,-4.31798,-0.285504,0.493698,-0.414937,0.708927
1.141,-2.45206,2.20355,-4.32014,-0.286252,0.493121,-0.415125,0.708917
1.142,-2.45492,2.19692,-4.32231,-0.287,0.492541,-0.415312,0.708907
1.143,-2.45777,2.19029,-4.32446,-0.287748,0.49196,-0.415499,0.708898
1.144,-2.46061,2.18365,-4.32662,-0.288495,0.491377,-0.415687,0.708889
1.145,-2.46344,2.177,-4.32877,-0.289242,0.490792,-0.415875,0.708879
1.146,-2.46627,2.17033,-4.33091,-0.289988,0.490205,-0.416063,0.70887
1.147,-2.46909,2.16366,-4.33305,-0.290734,0.489617,-0.416252,0.708861
1.148,-2.4719,2.15697,-4.33519,-0.29148,0.489026,-0.41644,0.708852
1.149,-2.47471,2.15027,-4.33732,-0.292225,0.488433,-0.416629,0.708842
1.15,-2.4775,2.14356,-4.33945,-0.29297,0.487839,-0.416818,0.708833
1.151,-2.48029,2.13684,-4.34157,-0.293714,0.487242,-0.417007,0.708824
1.152,-2.48308,2.13011,-4.34369,-0.294458,0.486644,-0.417197,0.708815
1.153,-2.48585,2.12337,-4.34581,-0.295201,0.486044,-0.417386,0.708806
1.154,-2.48862,2.11662,-4.34792,-0.295944,0.485442,-0.417576,0.708797
1.155,-2.49138,2.10986,-4.35003,-0.296687,0.484838,-0.417766,0.708788
1.156,-2.49414,2.10308,-4.35213,-0.297429,0.484232,-0.417956,0.70878
1.157,-2.49688,2.0963,-4.35423,-0.29817,0.483624,-0.418146,0.708771
1.158,-2.49962,2.0895,-4.35632,-0.298911,0.483014,-0.418337,0.708762
1.159,-2.50235,2.0827,-4.35841,-0.299652,0.482403,-0.418527,0.708753
1.16,-2.50507,2.07588,-4.3605,-0.300392,0.481789,-0.418718,0.708745
1.161,-2.50779,2.06906,-4.36258,-0.301132,0.481174,-0.418909,0.708736
1.162,-2.5105,2.06222,-4.36465,-0.301871,0.480557,-0.4191,0.708727
1.163,-2.5132,2.05537,-4.36672,-0.30261,0.479937,-0.419291,0.708719
1.164,-2.51589,2.04851,-4.36879,-0.303348,0.479316,-0.419483,0.70871
1.165,-2.51858,2.04164,-4.37085,-0.304086,0.478693,-0.419674,0.708702
1.166,-2.52125,2.03476,-4.37291,-0.304823,0.478068,-0.419866,0.708694
1.167,-2.52392,2.02787,-4.37496,-0.305559,0.477441,-0.420058,0.708685
1.168,-2.52658,2.02097,-4.37701,-0.306296,0.476813,-0.42025,0.708677
1.169,-2.52924,2.01406,-4.37905,-0.307031,0.476182,-0.420442,0.708669
1.17,-2.53188,2.00713,-4.38109,-0.307766,0.475549,-0.420634,0.70866
1.171,-2.53452,2.0002,-4.38312,-0.308501,0.474915,-0.420826,0.708652
1.172,-2.53715,1.99326,-4.38515,-0.309235,0.474279,-0.421019,0.708644
1.173,-2.53977,1.9863,-4.38717,-0.309969,0.473641,-0.421211,0.708636
1.174,-2.54239,1.97934,-4.38919,-0.310702,0.473,-0.421404,0.708628
1.175,-2.54499,1.97237,-4.3912,-0.311434,0.472358,-0.421597,0.70862
1.176,-2.54759,1.96538,-4.39321,-0.312166,0.471714,-0.42179,0.708612
1.177,-2.55018,1.95839,-4.39521,-0.312898,0.471069,-0.421983,0.708604
1.178,-2.55276,1.95138,-4.39721,-0.313629,0.470421,-0.422176,0.708596
1.179,-2.55534,1.94437,-4.3992,-0.314359,0.469771,-0.42237,0.708588
1.18,-2.55791,1.93734,-4.40119,-0.315089,0.46912,-0.422563,0.70858
1.181,-2.56046,1.9303,-4.40317,-0.315818,0.468467,-0.422757,0.708573
1.182,-2.56301,1.92326,-4.40515,-0.316546,0.467811,-0.42295,0.708565
1.183,-2.56555,1.9162,-4.40712,-0.317274,0.467154,-0.423144,0.708557
1.184,-2.56809,1.90913,-4.40909,-0.318002,0.466495,-0.423338,0.708549
1.185,-2.57061,1.90206,-4.41105,-0.318729,0.465834,-0.423532,0.708542
1.186,-2.57313,1.89497,-4.413,-0.319455,0.465171,-0.423726,0.708534
1.187,-2.57564,1.88787,-4.41495,-0.320181,0.464507,-0.42392,0.708527
1.188,-2.57814,1.88077,-4.4169,-0.320906,0.46384,-0.424114,0.708519
1.189,-2.58063,1.87365,-4.41884,-0.32163,0.463172,-0.424308,0.708512
1.19,-2.58312,1.86652,-4.42077,-0.322354,0.462501,-0.424502,0.708504
1.191,-2.58559,1.85938,-4.4227,-0.323077,0.461829,-0.424697,0.708497
1.192,-2.58806,1.85224,-4.42462,-0.3238,0.461155,-0.424891,0.708489
1.193,-2.59052,1.84508,-4.42654,-0.324522,0.460479,-0.425086,0.708482
1.194,-2.59297,1.83791,-4.42845,-0.325244,0.459801,-0.42528,0.708475
1.195,-2.59541,1.83074,-4.43036,-0.325964,0.459121,-0.425475,0.708467
1.196,-2.59784,1.82355,-4.43226,-0.326685,0.45844,-0.42567,0.70846
1.197,-2.60027,1.81635,-4.43416,-0.327404,0.457756,-0.425864,0.708453
1.198,-2.60268,1.80915,-4.43604,-0.328123,0.457071,-0.426059,0.708446
1.199,-2.60509,1.80193,-4.43793,-0.328841,0.456383,-0.426254,0.708439
1.2,-2.60749,1.79471,-4.43981,-0.329559,0.455694,-0.426449,0.708432
1.201,-2.60988,1.78747,-4.44168,-0.330276,0.455003,-0.426643,0.708425
1.202,-2.61226,1.78023,-4.44354,-0.330992,0.45431,-0.426838,0.708418
1.203,-2.61463,1.77297,-4.4454,-0.331708,0.453615,-0.427033,0.708411
1.204,-2.617,1.76571,-4.44726,-0.332423,0.452919,-0.427228,0.708404
1.205,-2.61936,1.75843,-4.44911,-0.333137,0.45222,-0.427423,0.708397
1.206,-2.6217,1.75115,-4.45095,-0.333851,0.45152,-0.427618,0.70839
1.207,-2.62404,1.74386,-4.45279,-0.334563,0.450817,-0.427813,0.708383
1.208,-2.62637,1.73655,-4.45462,-0.335276,0.450113,-0.428008,0.708376
1.209,-2.62869,1.72924,-4.45644,-0.335987,0.449407,-0.428203,0.70837
1.21,-2.631,1.72192,-4.45826,-0.336698,0.448699,-0.428398,0.708363
1.211,-2.63331,1.71459,-4.46007,-0.337408,0.44799,-0.428594,0.708356
1.212,-2.6356,1.70725,-4.46188,-0.338118,0.447278,-0.428789,0.708349
1.213,-2.63789,1.6999,-4.46368,-0.338827,0.446565,-0.428984,0.708343
1.214,-2.64016,1.69254,-4.46547,-0.339535,0.445849,-0.429179,0.708336
1.215,-2.64243,1.68517,-4.46726,-0.340242,0.445132,-0.429374,0.70833
1.216,-2.64469,1.67779,-4.46904,-0.340949,0.444413,-0.429569,0.708323
1.217,-2.64694,1.6704,-4.47081,-0.341655,0.443692,-0.429764,0.708317
1.218,-2.64918,1.66301,-4.47258,-0.34236,0.442969,-0.429959,0.70831
1.219,-2.65141,1.6556,-4.47434,-0.343064,0.442245,-0.430154,0.708304
1.22,-2.65363,1.64819,-4.4761,-0.343768,0.441518,-0.430349,0.708297
1.221,-2.65584,1.64076,-4.47785,-0.344471,0.44079,-0.430544,0.708291
1.222,-2.65805,1.63333,-4.47959,-0.345173,0.44006,-0.430739,0.708285
1.223,-2.66024,1.62589,-4.48133,-0.345875,0.439328,-0.430933,0.708278
1.224,-2.66243,1.61844,-4.48306,-0.346575,0.438594,-0.431128,0.708272
1.225,-2.66461,1.61098,-4.48478,-0.347275,0.437858,-0.431323,0.708266
1.226,-2.66677,1.60351,-4.4865,-0.347974,0.437121,-0.431518,0.70826
1.227,-2.66893,1.59603,-4.48821,-0.348673,0.436381,-0.431712,0.708253
1.228,-2.67108,1.58855,-4.48991,-0.349371,0.43564,-0.431907,0.708247
1.229,-2.67322,1.58105,-4.49161,-0.350067,0.434897,-0.432102,0.708241
1.23,-2.67535,1.57355,-4.4933,-0.350764,0.434152,-0.432296,0.708235
1.231,-2.67747,1.56603,-4.49499,-0.351459,0.433405,-0.432491,0.708229
1.232,-2.67958,1.55851,-4.49666,-0.352153,0.432657,-0.432685,0.708223
1.233,-2.68169,1.55098,-4.49833,-0.352847,0.431906,-0.432879,0.708217
1.234,-2.68378,1.54344,-4.5,-0.35354,0.431154,-0.433074,0.708211
1.235,-2.68586,1.53589,-4.50165,-0.354232,0.4304,-0.433268,0.708205
1.236,-2.68794,1.52834,-4.5033,-0.354924,0.429644,-0.433462,0.708199
1.237,-2.69,1.52077,-4.50495,-0.355614,0.428886,-0.433656,0.708193
1.238,-2.69206,1.5132,-4.50658,-0.356304,0.428127,-0.43385,0.708187
1.239,-2.6941,1.50561,-4.50821,-0.356993,0.427365,-0.434044,0.708182
1.24,-2.69614,1.49802,-4.50984,-0.357681,0.426602,-0.434238,0.708176
1.241,-2.69817,1.49042,-4.51145,-0.358368,0.425837,-0.434431,0.70817
1.242,-2.70018,1.48282,-4.51306,-0.359055,0.42507,-0.434625,0.708164
1.243,-2.70219,1.4752,-4.51466,-0.35974,0.424301,-0.434818,0.708159
1.244,-2.70419,1.46757,-4.51626,-0.360425,0.423531,-0.435012,0.708153
1.245,-2.70618,1.45994,-4.51784,-0.361109,0.422758,-0.435205,0.708147
1.246,-2.70816,1.4523,-4.51942,-0.361792,0.421984,-0.435398,0.708142
1.247,-2.71012,1.44465,-4.521,-0.362474,0.421208,-0.435591,0.708136
1.248,-2.71208,1.43699,-4.52256,-0.363155,0.42043,-0.435784,0.70813
1.249,-2.71403,1.42933,-4.52412,-0.363836,0.419651,-0.435977,0.708125
1.25,-2.71597,1.42165,-4.52567,-0.364515,0.418869,-0.43617,0.708119
1.251,-2.7179,1.41397,-4.52722,-0.365194,0.418086,-0.436362,0.708114
1.252,-2.71982,1.40628,-4.52876,-0.365872,0.417301,-0.436554,0.708109
1.253,-2.72173,1.39858,-4.53029,-0.366549,0.416514,-0.436747,0.708103
1.254,-2.72364,1.39088,-4.53181,-0.367225,0.415726,-0.436939,0.708098
1.255,-2.72553,1.38316,-4.53332,-0.3679,0.414935,-0.437131,0.708092
1.256,-2.72741,1.37544,-4.53483,-0.368574,0.414143,-0.437323,0.708087
1.257,-2.72928,1.36771,-4.53633,-0.369248,0.413349,-0.437514,0.708082
1.258,-2.73114,1.35997,-4.53782,-0.36992,0.412553,-0.437706,0.708076
1.259,-2.73299,1.35222,-4.53931,-0.370592,0.411756,-0.437897,0.708071
1.26,-2.73483,1.34447,-4.54079,-0.371263,0.410956,-0.438089,0.708066
1.261,-2.73666,1.33671,-4.54226,-0.371932,0.410155,-0.43828,0.708061
1.262,-2.73849,1.32894,-4.54372,-0.372601,0.409352,-0.438471,0.708055
1.263,-2.7403,1.32116,-4.54518,-0.373269,0.408548,-0.438661,0.70805
1.264,-2.7421,1.31338,-4.54663,-0.373936,0.407741,-0.438852,0.708045
1.265,-2.74389,1.30559,-4.54807,-0.374602,0.406933,-0.439042,0.70804
1.266,-2.74567,1.29779,-4.5495,-0.375267,0.406123,-0.439233,0.708035
1.267,-2.74744,1.28998,-4.55093,-0.375932,0.405311,-0.439423,0.70803
1.268,-2.7492,1.28217,-4.55234,-0.376595,0.404497,-0.439612,0.708025
1.269,-2.75096,1.27434,-4.55375,-0.377257,0.403682,-0.439802,0.70802
1.27,-2.7527,1.26651,-4.55516,-0.377918,0.402865,-0.439992,0.708015
1.271,-2.75443,1.25868,-4.55655,-0.378579,0.402046,-0.440181,0.70801
1.272,-2.75615,1.25083,-4.55794,-0.379238,0.401225,-0.44037,0.708005
1.273,-2.75786,1.24298,-4.55932,-0.379897,0.400403,-0.440559,0.708
1.274,-2.75956,1.23512,-4.56069,-0.380554,0.399579,-0.440748,0.707995
1.275,-2.76125,1.22726,-4.56205,-0.381211,0.398753,-0.440936,0.70799
1.276,-2.76293,1.21938,-4.56341,-0.381866,0.397925,-0.441124,0.707985
1.277,-2.7646,1.2115,-4.56475,-0.382521,0.397095,-0.441312,0.707981
1.278,-2.76626,1.20362,-4.56609,-0.383174,0.396264,-0.4415,0.707976
1.279,-2.7679,1.19572,-4.56742,-0.383827,0.395431,-0.441688,0.707971
1.28,-2.76954,1.18782,-4.56875,-0.384478,0.394597,-0.441875,0.707966
1.281,-2.77117,1.17991,-4.57006,-0.385129,0.39376,-0.442062,0.707962
1.282,-2.77279,1.172,-4.57137,-0.385778,0.392922,-0.442249,0.707957
1.283,-2.7744,1.16407,-4.57267,-0.386427,0.392082,-0.442436,0.707952
1.284,-2.77599,1.15615,-4.57396,-0.387074,0.39124,-0.442622,0.707948
1.285,-2.77758,1.14821,-4.57525,-0.387721,0.390397,-0.442809,0.707943
1.286,-2.77916,1.14027,-4.57652,-0.388366,0.389552,-0.442995,0.707938
1.287,-2.78072,1.13232,-4.57779,-0.389011,0.388705,-0.44318,0.707934
1.288,-2.78228,1.12436,-4.57905,-0.389654,0.387856,-0.443366,0.707929
1.289,-2.78382,1.1164,-4.5803,-0.390296,0.387006,-0.443551,0.707925
1.29,-2.78535,1.10843,-4.58155,-0.390938,0.386154,-0.443736,0.70792
1.291,-2.78688,1.10045,-4.58278,-0.391578,0.3853,-0.443921,0.707916
1.292,-2.78839,1.09247,-4.58401,-0.392217,0.384445,-0.444105,0.707911
1.293,-2.78989,1.08448,-4.58523,-0.392855,0.383588,-0.444289,0.707907
1.294,-2.79139,1.07649,-4.58644,-0.393493,0.382729,-0.444473,0.707902
1.295,-2.79287,1.06849,-4.58764,-0.394129,0.381868,-0.444657,0.707898
1.296,-2.79434,1.06048,-4.58883,-0.394764,0.381006,-0.44484,0.707894
1.297,-2.7958,1.05246,-4.59002,-0.395398,0.380142,-0.445023,0.707889
1.298,-2.79725,1.04444,-4.59119,-0.39603,0.379276,-0.445206,0.707885
1.299,-2.79868,1.03642,-4.59236,-0.396662,0.378409,-0.445389,0.707881
1.3,-2.80011,1.02838,-4.59352,-0.397293,0.37754,-0.445571,0.707876
1.301,-2.80153,1.02035,-4.59467,-0.397922,0.376669,-0.445753,0.707872
1.302,-2.80294,1.0123,-4.59582,-0.398551,0.375797,-0.445934,0.707868
1.303,-2.80433,1.00425,-4.59695,-0.399178,0.374922,-0.446116,0.707864
1.304,-2.80572,0.996192,-4.59808,-0.399805,0.374047,-0.446297,0.707859
1.305,-2.80709,0.988129,-4.5992,-0.40043,0.373169,-0.446477,0.707855
1.306,-2.80845,0.98006,-4.60031,-0.401054,0.37229,-0.446658,0.707851
1.307,-2.80981,0.971986,-4.60141,-0.401677,0.371409,-0.446838,0.707847
1.308,-2.81115,0.963905,-4.6025,-0.402299,0.370526,-0.447017,0.707843
1.309,-2.81248,0.955818,-4.60358,-0.40292,0.369642,-0.447197,0.707839
1.31,-2.8138,0.947726,-4.60466,-0.403539,0.368756,-0.447376,0.707834
1.311,-2.81511,0.939628,-4.60573,-0.404158,0.367869,-0.447555,0.70783
1.312,-2.81641,0.931525,-4.60678,-0.404775,0.36698,-0.447733,0.707826
1.313,-2.81769,0.923416,-4.60783,-0.405391,0.366089,-0.447911,0.707822
1.314,-2.81897,0.915301,-4.60887,-0.406006,0.365196,-0.448089,0.707818
1.315,-2.82024,0.907181,-4.60991,-0.40662,0.364302,-0.448267,0.707814
1.316,-2.82149,0.899055,-4.61093,-0.407233,0.363406,-0.448444,0.70781
1.317,-2.82273,0.890924,-4.61194,-0.407844,0.362509,-0.448621,0.707806
1.318,-2.82397,0.882788,-4.61295,-0.408455,0.36161,-0.448797,0.707802
1.319,-2.82519,0.874646,-4.61395,-0.409064,0.360709,-0.448973,0.707799
1.32,-2.8264,0.866499,-4.61494,-0.409672,0.359806,-0.449149,0.707795
1.321,-2.8276,0.858347,-4.61592,-0.410279,0.358902,-0.449324,0.707791
1.322,-2.82879,0.850189,-4.61689,-0.410885,0.357997,-0.449499,0.707787
1.323,-2.82997,0.842027,-4.61785,-0.41149,0.35709,-0.449674,0.707783
1.324,-2.83113,0.833859,-4.6188,-0.412093,0.356181,-0.449848,0.707779
1.325,-2.83229,0.825686,-4.61975,-0.412695,0.35527,-0.450022,0.707776
1.326,-2.83343,0.817508,-4.62068,-0.413296,0.354358,-0.450195,0.707772
1.327,-2.83457,0.809326,-4.62161,-0.413896,0.353444,-0.450368,0.707768
1.328,-2.83569,0.801138,-4.62253,-0.414495,0.352529,-0.450541,0.707764
1.329,-2.8368,0.792945,-4.62343,-0.415092,0.351612,-0.450713,0.707761
1.33,-2.8379,0.784748,-4.62433,-0.415688,0.350693,-0.450885,0.707757
1.331,-2.83899,0.776546,-4.62522,-0.416283,0.349773,-0.451057,0.707753
1.332,-2.84006,0.768339,-4.62611,-0.416877,0.348851,-0.451228,0.707749
1.333,-2.84113,0.760128,-4.62698,-0.41747,0.347928,-0.451399,0.707746
1.334,-2.84219,0.751911,-4.62784,-0.418061,0.347003,-0.451569,0.707742
1.335,-2.84323,0.743691,-4.6287,-0.418651,0.346076,-0.451739,0.707739
1.336,-2.84426,0.735465,-4.62954,-0.41924,0.345148,-0.451909,0.707735
